@timestamp,agent.type,client.bytes,client.ip,client.port,destination.bytes,destination.domain,destination.ip,destination.port,event.type,host.ip,host.os.version,http.request.body.bytes,http.request.bytes,http.request.headers.content-length,http.request.headers.content-type,http.request.method,http.response.body.bytes,http.response.bytes,http.response.headers.content-length,http.response.headers.content-type,http.response.status_code,http.response.status_phrase,http.version,method,network.direction,network.protocol,network.transport,network.type,query,related.hosts,related.ip,server.bytes,server.domain,server.ip,server.port,source.ip,source.port,status,url.domain,url.extension,url.full,url.full.text,url.path,url.port,url.query,url.scheme,user_agent.original,user_agent.original.text
"Oct 23, 2022 @ 22:04:22.837",packetbeat,172B,172.16.0.9,47042,2.6KB,3204_webapp_1.3204_companyABC,172.16.0.2,8080,"connection, protocol",172.16.0.9,22.04.1 LTS (Jammy Jellyfish),-,172B,0,-,GET,2.4KB,2.6KB,"2,469",text/html;charset=ISO-8859-1,200,ok,1.1,GET,egress,http,tcp,ipv4,GET /,3204_webapp_1.3204_companyABC,"172.16.0.9, 172.16.0.2",2.6KB,3204_webapp_1.3204_companyABC,172.16.0.2,8080,172.16.0.9,47042,OK,3204_webapp_1.3204_companyABC,-,http://3204_webapp_1.3204_companyABC:8080/,http://3204_webapp_1.3204_companyABC:8080/,/,8080,-,http,Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html),Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)
"Oct 23, 2022 @ 22:04:22.837",packetbeat,330B,172.16.0.9,47064,2.6KB,3204_webapp_1.3204_companyABC,172.16.0.2,8080,"connection, protocol",172.16.0.9,22.04.1 LTS (Jammy Jellyfish),88B,330B,88,application/x-www-form-urlencoded,POST,2.4KB,2.6KB,"2,469",text/html;charset=ISO-8859-1,200,ok,1.1,POST,egress,http,tcp,ipv4,POST /,3204_webapp_1.3204_companyABC,"172.16.0.9, 172.16.0.2",2.6KB,3204_webapp_1.3204_companyABC,172.16.0.2,8080,172.16.0.9,47064,OK,3204_webapp_1.3204_companyABC,-,http://3204_webapp_1.3204_companyABC:8080/?%3CmethodCall%3E+%3CmethodName%3Esystem.listMethods%3C%2FmethodName%3E+%3Cparams%3E%3C%2Fparams%3E+%3C%2FmethodCall%3E=,http://3204_webapp_1.3204_companyABC:8080/?%3CmethodCall%3E+%3CmethodName%3Esystem.listMethods%3C%2FmethodName%3E+%3Cparams%3E%3C%2Fparams%3E+%3C%2FmethodCall%3E=,/,8080,%3CmethodCall%3E+%3CmethodName%3Esystem.listMethods%3C%2FmethodName%3E+%3Cparams%3E%3C%2Fparams%3E+%3C%2FmethodCall%3E=,http,Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html),Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)
"Oct 23, 2022 @ 22:04:22.837",packetbeat,234B,172.16.0.9,47080,1.3KB,3204_webapp_1.3204_companyABC,172.16.0.2,8080,"connection, protocol",172.16.0.9,22.04.1 LTS (Jammy Jellyfish),-,234B,0,-,OPTIONS,1.1KB,1.3KB,"1,086",text/html;charset=utf-8,405,method not allowed,1.1,OPTIONS,egress,http,tcp,ipv4,OPTIONS /,3204_webapp_1.3204_companyABC,"172.16.0.9, 172.16.0.2",1.3KB,3204_webapp_1.3204_companyABC,172.16.0.2,8080,172.16.0.9,47080,Error,3204_webapp_1.3204_companyABC,-,http://3204_webapp_1.3204_companyABC:8080/,http://3204_webapp_1.3204_companyABC:8080/,/,8080,-,http,Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html),Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)
"Oct 23, 2022 @ 22:04:22.837",packetbeat,176B,172.16.0.9,47092,1.3KB,3204_webapp_1.3204_companyABC,172.16.0.2,8080,"connection, protocol",172.16.0.9,22.04.1 LTS (Jammy Jellyfish),-,176B,0,-,OPTIONS,1.1KB,1.3KB,"1,086",text/html;charset=utf-8,405,method not allowed,1.1,OPTIONS,egress,http,tcp,ipv4,OPTIONS /,3204_webapp_1.3204_companyABC,"172.16.0.9, 172.16.0.2",1.3KB,3204_webapp_1.3204_companyABC,172.16.0.2,8080,172.16.0.9,47092,Error,3204_webapp_1.3204_companyABC,-,http://3204_webapp_1.3204_companyABC:8080/,http://3204_webapp_1.3204_companyABC:8080/,/,8080,-,http,Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html),Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)
"Oct 23, 2022 @ 22:04:22.837",packetbeat,196B,172.16.0.9,47106,1.2KB,3204_webapp_1.3204_companyABC,172.16.0.2,8080,"connection, protocol",172.16.0.9,22.04.1 LTS (Jammy Jellyfish),-,196B,0,-,GET,1KB,1.2KB,"1,042",text/html;charset=utf-8,404,not found,1.1,GET,egress,http,tcp,ipv4,GET /nmaplowercheck1666533862,3204_webapp_1.3204_companyABC,"172.16.0.9, 172.16.0.2",1.2KB,3204_webapp_1.3204_companyABC,172.16.0.2,8080,172.16.0.9,47106,Error,3204_webapp_1.3204_companyABC,-,http://3204_webapp_1.3204_companyABC:8080/nmaplowercheck1666533862,http://3204_webapp_1.3204_companyABC:8080/nmaplowercheck1666533862,/nmaplowercheck1666533862,8080,-,http,Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html),Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)
"Oct 23, 2022 @ 22:04:22.837",packetbeat,638B,172.16.0.9,47120,1.2KB,3204_webapp_1.3204_companyABC,172.16.0.2,8080,"connection, protocol",172.16.0.9,22.04.1 LTS (Jammy Jellyfish),441B,638B,441,-,POST,"1,000B",1.2KB,"1,000",text/html;charset=utf-8,404,not found,1.1,POST,egress,http,tcp,ipv4,POST /sdk,3204_webapp_1.3204_companyABC,"172.16.0.9, 172.16.0.2",1.2KB,3204_webapp_1.3204_companyABC,172.16.0.2,8080,172.16.0.9,47120,Error,3204_webapp_1.3204_companyABC,-,http://3204_webapp_1.3204_companyABC:8080/sdk,http://3204_webapp_1.3204_companyABC:8080/sdk,/sdk,8080,-,http,Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html),Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)
"Oct 23, 2022 @ 22:04:22.837",packetbeat,176B,172.16.0.9,47130,1.3KB,3204_webapp_1.3204_companyABC,172.16.0.2,8080,"connection, protocol",172.16.0.9,22.04.1 LTS (Jammy Jellyfish),-,176B,0,-,OPTIONS,1.1KB,1.3KB,"1,086",text/html;charset=utf-8,405,method not allowed,1.1,OPTIONS,egress,http,tcp,ipv4,OPTIONS /,3204_webapp_1.3204_companyABC,"172.16.0.9, 172.16.0.2",1.3KB,3204_webapp_1.3204_companyABC,172.16.0.2,8080,172.16.0.9,47130,Error,3204_webapp_1.3204_companyABC,-,http://3204_webapp_1.3204_companyABC:8080/,http://3204_webapp_1.3204_companyABC:8080/,/,8080,-,http,Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html),Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)
"Oct 23, 2022 @ 22:04:22.837",packetbeat,182B,172.16.0.9,47148,1.2KB,3204_webapp_1.3204_companyABC,172.16.0.2,8080,"connection, protocol",172.16.0.9,22.04.1 LTS (Jammy Jellyfish),-,182B,0,-,GET,"1,014B",1.2KB,"1,014",text/html;charset=utf-8,404,not found,1.1,GET,egress,http,tcp,ipv4,GET /robots.txt,3204_webapp_1.3204_companyABC,"172.16.0.9, 172.16.0.2",1.2KB,3204_webapp_1.3204_companyABC,172.16.0.2,8080,172.16.0.9,47148,Error,3204_webapp_1.3204_companyABC,txt,http://3204_webapp_1.3204_companyABC:8080/robots.txt,http://3204_webapp_1.3204_companyABC:8080/robots.txt,/robots.txt,8080,-,http,Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html),Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)
"Oct 23, 2022 @ 22:04:22.837",packetbeat,181B,172.16.0.9,47180,1.2KB,3204_webapp_1.3204_companyABC,172.16.0.2,8080,"connection, protocol",172.16.0.9,22.04.1 LTS (Jammy Jellyfish),-,181B,0,-,GET,"1,012B",1.2KB,"1,012",text/html;charset=utf-8,404,not found,1.1,GET,egress,http,tcp,ipv4,GET /.git/HEAD,3204_webapp_1.3204_companyABC,"172.16.0.9, 172.16.0.2",1.2KB,3204_webapp_1.3204_companyABC,172.16.0.2,8080,172.16.0.9,47180,Error,3204_webapp_1.3204_companyABC,git/HEAD,http://3204_webapp_1.3204_companyABC:8080/.git/HEAD,http://3204_webapp_1.3204_companyABC:8080/.git/HEAD,/.git/HEAD,8080,-,http,Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html),Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)
"Oct 23, 2022 @ 22:04:22.837",packetbeat,187B,172.16.0.9,47134,1.3KB,3204_webapp_1.3204_companyABC,172.16.0.2,8080,"connection, protocol",172.16.0.9,22.04.1 LTS (Jammy Jellyfish),-,187B,0,-,PROPFIND,1.1KB,1.3KB,"1,086",text/html;charset=utf-8,405,method not allowed,1.1,PROPFIND,egress,http,tcp,ipv4,PROPFIND /,3204_webapp_1.3204_companyABC,"172.16.0.9, 172.16.0.2",1.3KB,3204_webapp_1.3204_companyABC,172.16.0.2,8080,172.16.0.9,47134,Error,3204_webapp_1.3204_companyABC,-,http://3204_webapp_1.3204_companyABC:8080/,http://3204_webapp_1.3204_companyABC:8080/,/,8080,-,http,Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html),Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)
