@timestamp,_id,_index,_score,agent.ephemeral_id,agent.hostname,agent.id,agent.name,agent.type,agent.version,ecs.version,error.message,event.action,event.category,event.dataset,event.id,event.kind,event.module,event.origin,event.outcome,event.type,file.ctime,file.extension,file.gid,file.group,file.hash.sha1,file.inode,file.mime_type,file.mode,file.mtime,file.owner,file.path,file.path.text,file.setgid,file.setuid,file.size,file.target_path,file.target_path.text,file.type,file.uid,host.architecture,host.containerized,host.hostname,host.id,host.ip,host.mac,host.name,host.os.codename,host.os.family,host.os.kernel,host.os.name,host.os.name.text,host.os.platform,host.os.type,host.os.version,message,process.args,process.entity_id,process.executable,process.executable.text,process.hash.sha1,process.name,process.name.text,process.parent.pid,process.pid,process.start,process.working_directory,process.working_directory.text,related.ip,related.user,service.type,source.ip,system.audit.host.architecture,system.audit.host.boottime,system.audit.host.containerized,system.audit.host.hostname,system.audit.host.id,system.audit.host.ip,system.audit.host.mac,system.audit.host.os.codename,system.audit.host.os.family,system.audit.host.os.kernel,system.audit.host.os.name,system.audit.host.os.platform,system.audit.host.os.type,system.audit.host.os.version,system.audit.host.timezone.name,system.audit.host.timezone.offset.sec,system.audit.host.uptime,system.audit.user.dir,system.audit.user.gid,system.audit.user.group.gid,system.audit.user.group.id,system.audit.user.group.name,system.audit.user.name,system.audit.user.password.last_changed,system.audit.user.password.type,system.audit.user.shell,system.audit.user.uid,system.audit.user.user_information,user.effective.group.id,user.effective.id,user.entity_id,user.group.id,user.group.name,user.id,user.name,user.name.text,user.saved.group.id,user.saved.id,user.terminal,,,,,,,,,
"Oct 22, 2022 @ 15:31:08.214",6cea_oMBlM6FNcp7T9sg,.ds-auditbeat-8.3.3-2022.10.22-000001,-,064464fd-ed0f-4490-9902-b6f22db19af8,c2be3c5be205,4592a6e2-23ee-40e7-be4b-f7037f88c17d,c2be3c5be205,auditbeat,8.3.3,8.0.0,-,"updated, attributes_modified",file,file,-,event,file_integrity,-,-,change,"Oct 22, 2022 @ 15:31:08.211",log,4,adm,6c90e2f7652876e90e5044f94a79d8f3068b1664,535402,-,640,"Oct 22, 2022 @ 15:31:08.211",syslog,/var/log/auth.log,/var/log/auth.log,-,-,"11,305",-,-,file,107,x86_64,TRUE,c2be3c5be205,b9675852aa3f4a66b2fe60f5613e3a16,"172.17.0.3, 192.168.0.3","02:42:ac:11:00:03, 02:42:c0:a8:00:03",c2be3c5be205,jammy,debian,5.4.0-131-generic,Ubuntu,Ubuntu,ubuntu,linux,22.04.1 LTS (Jammy Jellyfish),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,file_integrity,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,
"Oct 22, 2022 @ 15:31:08.213",6Mea_oMBlM6FNcp7T9sg,.ds-auditbeat-8.3.3-2022.10.22-000001,-,064464fd-ed0f-4490-9902-b6f22db19af8,c2be3c5be205,4592a6e2-23ee-40e7-be4b-f7037f88c17d,c2be3c5be205,auditbeat,8.3.3,8.0.0,-,"updated, attributes_modified",file,file,-,event,file_integrity,-,-,change,"Oct 22, 2022 @ 15:31:08.207",log,4,adm,c5da29676b0a9b70ab44e5cec8fd759d8de3fa9e,535402,-,640,"Oct 22, 2022 @ 15:31:08.207",syslog,/var/log/auth.log,/var/log/auth.log,-,-,"11,151",-,-,file,107,x86_64,TRUE,c2be3c5be205,b9675852aa3f4a66b2fe60f5613e3a16,"172.17.0.3, 192.168.0.3","02:42:ac:11:00:03, 02:42:c0:a8:00:03",c2be3c5be205,jammy,debian,5.4.0-131-generic,Ubuntu,Ubuntu,ubuntu,linux,22.04.1 LTS (Jammy Jellyfish),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,file_integrity,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,
"Oct 22, 2022 @ 15:30:01.722",H8eZ_oMBlM6FNcp7S9tg,.ds-auditbeat-8.3.3-2022.10.22-000001,-,064464fd-ed0f-4490-9902-b6f22db19af8,c2be3c5be205,4592a6e2-23ee-40e7-be4b-f7037f88c17d,c2be3c5be205,auditbeat,8.3.3,8.0.0,-,"updated, attributes_modified",file,file,-,event,file_integrity,-,-,change,"Oct 22, 2022 @ 15:30:01.720",log,4,adm,8c561e14f700028c495fe75efb6f8bfefb7817f1,535402,-,640,"Oct 22, 2022 @ 15:30:01.720",syslog,/var/log/auth.log,/var/log/auth.log,-,-,"11,015",-,-,file,107,x86_64,TRUE,c2be3c5be205,b9675852aa3f4a66b2fe60f5613e3a16,"172.17.0.3, 192.168.0.3","02:42:ac:11:00:03, 02:42:c0:a8:00:03",c2be3c5be205,jammy,debian,5.4.0-131-generic,Ubuntu,Ubuntu,ubuntu,linux,22.04.1 LTS (Jammy Jellyfish),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,file_integrity,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,
"Oct 22, 2022 @ 15:30:01.719",HseZ_oMBlM6FNcp7S9tg,.ds-auditbeat-8.3.3-2022.10.22-000001,-,064464fd-ed0f-4490-9902-b6f22db19af8,c2be3c5be205,4592a6e2-23ee-40e7-be4b-f7037f88c17d,c2be3c5be205,auditbeat,8.3.3,8.0.0,-,"updated, attributes_modified",file,file,-,event,file_integrity,-,-,change,"Oct 22, 2022 @ 15:30:01.716",log,4,adm,f1a03b98b38fd0d968de20b958400f20a99ec27c,535402,-,640,"Oct 22, 2022 @ 15:30:01.716",syslog,/var/log/auth.log,/var/log/auth.log,-,-,"10,927",-,-,file,107,x86_64,TRUE,c2be3c5be205,b9675852aa3f4a66b2fe60f5613e3a16,"172.17.0.3, 192.168.0.3","02:42:ac:11:00:03, 02:42:c0:a8:00:03",c2be3c5be205,jammy,debian,5.4.0-131-generic,Ubuntu,Ubuntu,ubuntu,linux,22.04.1 LTS (Jammy Jellyfish),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,file_integrity,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,
"Oct 22, 2022 @ 15:30:01.718",HceZ_oMBlM6FNcp7S9tg,.ds-auditbeat-8.3.3-2022.10.22-000001,-,064464fd-ed0f-4490-9902-b6f22db19af8,c2be3c5be205,4592a6e2-23ee-40e7-be4b-f7037f88c17d,c2be3c5be205,auditbeat,8.3.3,8.0.0,-,"updated, attributes_modified",file,file,-,event,file_integrity,-,-,change,"Oct 22, 2022 @ 15:30:01.716",log,4,adm,7d9e11dd4ae84c7cd86150e07494a981b3724cd6,535402,-,640,"Oct 22, 2022 @ 15:30:01.716",syslog,/var/log/auth.log,/var/log/auth.log,-,-,"10,534",-,-,file,107,x86_64,TRUE,c2be3c5be205,b9675852aa3f4a66b2fe60f5613e3a16,"172.17.0.3, 192.168.0.3","02:42:ac:11:00:03, 02:42:c0:a8:00:03",c2be3c5be205,jammy,debian,5.4.0-131-generic,Ubuntu,Ubuntu,ubuntu,linux,22.04.1 LTS (Jammy Jellyfish),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,file_integrity,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,
"Oct 22, 2022 @ 15:29:43.803",18eZ_oMBlM6FNcp7Bdpf,.ds-auditbeat-8.3.3-2022.10.22-000001,-,064464fd-ed0f-4490-9902-b6f22db19af8,c2be3c5be205,4592a6e2-23ee-40e7-be4b-f7037f88c17d,c2be3c5be205,auditbeat,8.3.3,8.0.0,-,"updated, attributes_modified",file,file,-,event,file_integrity,-,-,change,"Oct 22, 2022 @ 15:29:43.801",log,4,adm,74bdaec699ca6addad50db728466235415bc61c7,535402,-,640,"Oct 22, 2022 @ 15:29:43.801",syslog,/var/log/auth.log,/var/log/auth.log,-,-,"10,413",-,-,file,107,x86_64,TRUE,c2be3c5be205,b9675852aa3f4a66b2fe60f5613e3a16,"172.17.0.3, 192.168.0.3","02:42:ac:11:00:03, 02:42:c0:a8:00:03",c2be3c5be205,jammy,debian,5.4.0-131-generic,Ubuntu,Ubuntu,ubuntu,linux,22.04.1 LTS (Jammy Jellyfish),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,file_integrity,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,
"Oct 22, 2022 @ 15:29:43.798",1ceZ_oMBlM6FNcp7Bdpf,.ds-auditbeat-8.3.3-2022.10.22-000001,-,064464fd-ed0f-4490-9902-b6f22db19af8,c2be3c5be205,4592a6e2-23ee-40e7-be4b-f7037f88c17d,c2be3c5be205,auditbeat,8.3.3,8.0.0,-,"updated, attributes_modified",file,file,-,event,file_integrity,-,-,change,"Oct 22, 2022 @ 15:29:43.797",log,4,adm,089620ada5dbc8d9367856b0f9cc001ed6a4f1ff,535402,-,640,"Oct 22, 2022 @ 15:29:43.797",syslog,/var/log/auth.log,/var/log/auth.log,-,-,"10,216",-,-,file,107,x86_64,TRUE,c2be3c5be205,b9675852aa3f4a66b2fe60f5613e3a16,"172.17.0.3, 192.168.0.3","02:42:ac:11:00:03, 02:42:c0:a8:00:03",c2be3c5be205,jammy,debian,5.4.0-131-generic,Ubuntu,Ubuntu,ubuntu,linux,22.04.1 LTS (Jammy Jellyfish),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,file_integrity,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,
"Oct 22, 2022 @ 15:29:43.798",1seZ_oMBlM6FNcp7Bdpf,.ds-auditbeat-8.3.3-2022.10.22-000001,-,064464fd-ed0f-4490-9902-b6f22db19af8,c2be3c5be205,4592a6e2-23ee-40e7-be4b-f7037f88c17d,c2be3c5be205,auditbeat,8.3.3,8.0.0,-,"updated, attributes_modified",file,file,-,event,file_integrity,-,-,change,"Oct 22, 2022 @ 15:29:43.797",log,4,adm,8a02a3c2979e980cec4393a6ac60926727457d51,535402,-,640,"Oct 22, 2022 @ 15:29:43.797",syslog,/var/log/auth.log,/var/log/auth.log,-,-,"10,325",-,-,file,107,x86_64,TRUE,c2be3c5be205,b9675852aa3f4a66b2fe60f5613e3a16,"172.17.0.3, 192.168.0.3","02:42:ac:11:00:03, 02:42:c0:a8:00:03",c2be3c5be205,jammy,debian,5.4.0-131-generic,Ubuntu,Ubuntu,ubuntu,linux,22.04.1 LTS (Jammy Jellyfish),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,file_integrity,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,
"Oct 22, 2022 @ 15:29:43.796",1MeZ_oMBlM6FNcp7Bdpf,.ds-auditbeat-8.3.3-2022.10.22-000001,-,064464fd-ed0f-4490-9902-b6f22db19af8,c2be3c5be205,4592a6e2-23ee-40e7-be4b-f7037f88c17d,c2be3c5be205,auditbeat,8.3.3,8.0.0,-,"updated, attributes_modified",file,file,-,event,file_integrity,-,-,change,"Oct 22, 2022 @ 15:29:43.793",log,4,adm,40068b5a513882888a93441a2a2ae1c51335b05e,535402,-,640,"Oct 22, 2022 @ 15:29:43.793",syslog,/var/log/auth.log,/var/log/auth.log,-,-,"9,932",-,-,file,107,x86_64,TRUE,c2be3c5be205,b9675852aa3f4a66b2fe60f5613e3a16,"172.17.0.3, 192.168.0.3","02:42:ac:11:00:03, 02:42:c0:a8:00:03",c2be3c5be205,jammy,debian,5.4.0-131-generic,Ubuntu,Ubuntu,ubuntu,linux,22.04.1 LTS (Jammy Jellyfish),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,file_integrity,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,
"Oct 22, 2022 @ 15:25:37.604",p8eV_oMBlM6FNcp7Q9fO,.ds-auditbeat-8.3.3-2022.10.22-000001,-,064464fd-ed0f-4490-9902-b6f22db19af8,c2be3c5be205,4592a6e2-23ee-40e7-be4b-f7037f88c17d,c2be3c5be205,auditbeat,8.3.3,8.0.0,-,"updated, attributes_modified",file,file,-,event,file_integrity,-,-,change,"Oct 22, 2022 @ 15:25:37.601",log,4,adm,782187ee44aae7368de0f9ae6f5048cadebf8d1c,535402,-,640,"Oct 22, 2022 @ 15:25:37.601",syslog,/var/log/auth.log,/var/log/auth.log,-,-,"9,805",-,-,file,107,x86_64,TRUE,c2be3c5be205,b9675852aa3f4a66b2fe60f5613e3a16,"172.17.0.3, 192.168.0.3","02:42:ac:11:00:03, 02:42:c0:a8:00:03",c2be3c5be205,jammy,debian,5.4.0-131-generic,Ubuntu,Ubuntu,ubuntu,linux,22.04.1 LTS (Jammy Jellyfish),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,file_integrity,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,
