@timestamp,file.mtime,event.action,file.path,file.owner,related.user
"Oct 22, 2022 @ 15:21:38.692",-,deleted,/home/adam/cleanup.sh~,-,-
"Oct 22, 2022 @ 15:21:38.691",-,attributes_modified,/home/adam/.cleanup.sh.swp,-,-
"Oct 22, 2022 @ 15:21:38.689",-,attributes_modified,/home/adam/cleanup.sh~,-,-
"Oct 22, 2022 @ 15:21:38.689","Oct 22, 2022 @ 15:21:38.685","updated, attributes_modified",/home/adam/cleanup.sh,vagrant,-
"Oct 22, 2022 @ 15:21:38.688",-,deleted,/home/adam/4913,-,-
"Oct 22, 2022 @ 15:21:38.688","Oct 22, 2022 @ 15:13:34.000",created,/home/adam/cleanup.sh~,root,-
"Oct 22, 2022 @ 15:21:38.687",-,created,/home/adam/4913,-,-
"Oct 22, 2022 @ 15:21:35.596",-,process_started,-,-,-
"Oct 22, 2022 @ 15:21:35.169","Oct 22, 2022 @ 15:21:35.165","updated, attributes_modified",/home/adam/.cleanup.sh.swp,root,-
"Oct 22, 2022 @ 15:21:26.323","Oct 22, 2022 @ 15:21:26.313","updated, attributes_modified",/home/adam/.cleanup.sh.swp,root,-
"Oct 22, 2022 @ 15:21:26.321","Oct 22, 2022 @ 15:21:26.313",created,/home/adam/.cleanup.sh.swp,root,-
"Oct 22, 2022 @ 15:21:26.321","Oct 22, 2022 @ 15:21:26.313",created,/home/adam/.cleanup.sh.swx,root,-
"Oct 22, 2022 @ 15:21:26.321",-,deleted,/home/adam/.cleanup.sh.swx,-,-
"Oct 22, 2022 @ 15:21:26.236","Oct 22, 2022 @ 15:21:26.229","updated, attributes_modified",/var/log/auth.log,syslog,-
"Oct 22, 2022 @ 15:21:26.236","Oct 22, 2022 @ 15:21:26.229","updated, attributes_modified",/var/log/auth.log,syslog,-
"Oct 22, 2022 @ 15:21:03.691","Oct 22, 2022 @ 15:21:03.686","updated, attributes_modified",/var/log/auth.log,syslog,-
"Oct 22, 2022 @ 15:21:03.690","Aug 21, 2021 @ 15:10:13.690",attributes_modified,/usr/bin/service.sh,root,-
"Oct 22, 2022 @ 15:21:03.688","Oct 22, 2022 @ 15:21:03.682","updated, attributes_modified",/var/log/auth.log,syslog,-
"Oct 22, 2022 @ 15:21:03.687","Oct 22, 2022 @ 15:21:03.682","updated, attributes_modified",/var/log/auth.log,syslog,-
